Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_MF_GRP_001,Verify Groups screen loads successfully,Functional,P1,User is logged in with access to MicroFinance View modules,1. Open Group Maintenance | 2. Navigate to View > Groups | 3. Wait for load completion,Groups screen loads with Groups table Summary Information section and action panel visible,,Not Executed,,,
TC_MF_GRP_002,Verify hidden module ID value is rendered,Integration,P3,Screen opened from parent module with module context,1. Inspect hidden field moduleId_groups,Hidden module ID field exists and contains passed module context value,,Not Executed,,,
TC_MF_GRP_003,Verify header controls visibility,UI,P3,Screen is loaded,1. Observe top header controls,Refresh and Close buttons are visible with proper icon title and aria labels,,Not Executed,,,
TC_MF_GRP_004,Verify Groups section default expanded state,UI,P3,Screen is loaded,1. Observe Groups section on load,Groups section is expanded and table is visible,,Not Executed,,,
TC_MF_GRP_005,Verify Summary Information section default expanded state,UI,P3,Screen is loaded,1. Observe Summary Information section on load,Summary Information section is expanded and Total Members field is visible,,Not Executed,,,
TC_MF_GRP_006,Verify section toggle collapse and expand behavior,UI,P3,Screen is loaded,1. Collapse Groups section and expand again | 2. Collapse Summary section and expand again,Section content visibility toggles correctly and chevron icon states update,,Not Executed,,,
TC_MF_GRP_007,Verify View action loads group list data,Functional,P1,Backend has group data for current context,1. Click View,Groups list is loaded into table with expected rows,,Not Executed,,,
TC_MF_GRP_008,Verify empty state when no group records exist,Functional,P2,Current context has no group records,1. Click View in empty data context,Table shows No records to display message without stale rows,,Not Executed,,,
TC_MF_GRP_009,Verify groups table column mapping,Functional,P1,Group data is loaded,1. Click View | 2. Validate data under Group ID Group Name Total Members In SubGroup and Is Staggered columns,Each value appears in correct column for every row,,Not Executed,,,
TC_MF_GRP_010,Verify Is Staggered value rendering,Functional,P2,Loaded dataset includes mixed staggered and non-staggered groups,1. Load groups | 2. Inspect Is Staggered column values,Is Staggered displays values consistent with backend business indicator,,Not Executed,,,
TC_MF_GRP_011,Verify Total Members summary field updates after View,Business,P1,Group data is available,1. Click View | 2. Observe TotalMembers field in Summary Information,TotalMembers shows aggregated total matching displayed data/business logic,,Not Executed,,,
TC_MF_GRP_012,Verify Total Members summary field is read-only,Business,P2,Screen is loaded,1. Try editing TotalMembers input value manually,TotalMembers remains read-only and user edits are blocked,,Not Executed,,,
TC_MF_GRP_013,Verify Cancel action resets view state,Functional,P2,Group rows are loaded after View action,1. Click Cancel,Form returns to default neutral state and transient selection/filter state is cleared per module logic,,Not Executed,,,
TC_MF_GRP_014,Verify Refresh action reloads latest data,Integration,P2,Group data already loaded and backend reachable,1. Click Refresh,Latest backend group data is reloaded and table reflects current server state,,Not Executed,,,
TC_MF_GRP_015,Verify loading overlay behavior during fetch,UI,P3,Trigger View or Refresh action,1. Click View or Refresh | 2. Observe loading overlay behavior,Loading overlay appears during fetch and hides on completion,,Not Executed,,,
TC_MF_GRP_016,Verify Close action returns to parent safely,Integration,P2,Groups screen opened as child/iframe from parent,1. Click Close,Groups child view closes and parent Group Maintenance page remains stable,,Not Executed,,,
TC_MF_GRP_017,Verify View API request payload contract,Integration,P2,Browser network inspector available,1. Click View | 2. Inspect request payload and endpoint,Request includes expected module and context parameters required by groups service,,Not Executed,,,
TC_MF_GRP_018,Verify handling of backend failure during View,Integration,P1,Simulate backend error timeout or service failure,1. Click View while backend is unavailable,Screen shows user-friendly error feedback and does not freeze or crash,,Not Executed,,,
TC_MF_GRP_019,Verify unauthorized access handling for Groups screen,Validation,P1,User lacks permission for Groups view,1. Attempt direct URL access to Groups screen,System denies access or applies restricted behavior according to authorization policy,,Not Executed,,,
TC_MF_GRP_020,Verify table remains read-only in view module,Business,P2,Groups data is loaded,1. Attempt inline editing on any table cell,Rows remain read-only and no edit operation is available in this view-only screen,,Not Executed,,,
TC_MF_GRP_021,Verify long group names do not break layout,UI,P3,Loaded data includes long group names,1. Click View | 2. Inspect table rendering for long values,Long text remains readable and table layout remains stable,,Not Executed,,,
TC_MF_GRP_022,Verify Total Members consistency with subgroup totals,Business,P1,Loaded groups have known Total Members In SubGroup values,1. Click View | 2. Sum subgroup totals from rows | 3. Compare with TotalMembers summary,Summary total matches expected aggregation based on business calculation rules,,Not Executed,,,
TC_MF_GRP_023,Verify keyboard accessibility for action buttons,UI,P3,Screen is loaded,1. Navigate controls using Tab | 2. Trigger View/Cancel/Refresh using keyboard,Buttons are reachable in logical order and activatable via keyboard,,Not Executed,,,
TC_MF_GRP_024,Verify initial placeholder row before first View,UI,P3,Fresh screen load before any data request,1. Open Groups screen | 2. Inspect table body,Table shows initial No records to display placeholder row,,Not Executed,,,
TC_MF_GRP_025,Verify message feedback for successful and failed operations,UI,P3,Screen connected to service and user can trigger view attempts,1. Perform successful View | 2. Trigger failure scenario if possible,System presents clear feedback messages for both success and failure outcomes,,Not Executed,,,
TC_MF_GRP_026,Verify business scope filtering for visible groups,Business,P1,User has branch/center-specific entitlements,1. Click View | 2. Compare loaded groups against authorized scope,Only groups within authorized business scope are displayed,,Not Executed,,,
TC_MF_GRP_027,Verify repeated View does not duplicate rows,Validation,P2,Dataset has stable records and screen is loaded,1. Click View multiple times consecutively,Table refreshes cleanly without duplicate row accumulation,,Not Executed,,,
TC_MF_GRP_028,Verify refresh after cancel keeps state stable,Functional,P3,User clicked Cancel after a prior View,1. Click Cancel | 2. Click Refresh,Screen remains stable and data reloads correctly without inconsistent state,,Not Executed,,,
TC_MF_GRP_029,Verify Is Staggered business indicator values are normalized,Business,P2,Loaded data contains various raw indicator values from backend,1. Click View | 2. Inspect Is Staggered values in table,Displayed indicator values are normalized to expected business-friendly representation,,Not Executed,,,
TC_MF_GRP_030,Verify performance for large group datasets,Integration,P2,Context includes high number of group records,1. Click View on large dataset context | 2. Observe load responsiveness,Data loads within acceptable time and UI remains responsive with no browser hang,,Not Executed,,,
