Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
,,,,,,,,,,
=== MAIN INDEX PAGE ===,,,,,,,,,,
,,,,,,,,,,
TC_AM_IDX_001,Verify Account Maintenance main page loads correctly,Functional,P1,User is logged in with access to Account Maintenance,"1. Navigate to Account Maintenance from menu","Account Maintenance page loads with account search and submodule navigation",,,,,
TC_AM_IDX_002,Verify account search functionality,Functional,P1,Account Maintenance main page is loaded,"1. Enter account number in search field
2. Click Search or press Enter","Account details are loaded and displayed",,,,,
TC_AM_IDX_003,Verify account search by account name,Functional,P2,Account Maintenance main page is loaded,"1. Enter partial account name in search
2. Click Search","Matching accounts are displayed for selection",,,,,
TC_AM_IDX_004,Verify submodule navigation menu,UI,P1,Account is selected in Account Maintenance,"1. Click on submodule menu/navigation
2. Observe available submodules","All submodules (Notes, Blocking, Activation, etc.) are displayed",,,,,
TC_AM_IDX_005,Verify submodule loading on click,Functional,P1,Account is selected in Account Maintenance,"1. Click on any submodule link/button","Selected submodule loads in the submodule container area",,,,,
TC_AM_IDX_006,Verify account details display in header,UI,P2,Account is selected in Account Maintenance,"1. Observe account details section","Account number, name, balance, status are displayed in header area",,,,,
TC_AM_IDX_007,Verify reminder modal on account load,Functional,P2,Account has active reminders configured,"1. Search and select an account with reminders","Reminder modal popup appears showing active reminders",,,,,
TC_AM_IDX_008,Verify reminder modal close functionality,Functional,P3,Reminder modal is displayed,"1. Click Close button on reminder modal","Modal closes and main page is accessible",,,,,
TC_AM_IDX_009,Verify City dropdown filter,Functional,P3,Account Maintenance main page is loaded,"1. Select a city from City dropdown filter","Accounts filtered by selected city",,,,,
TC_AM_IDX_010,Verify Country dropdown filter,Functional,P3,Account Maintenance main page is loaded,"1. Select a country from Country dropdown filter","Accounts filtered by selected country",,,,,
TC_AM_IDX_011,Verify Operating Mode dropdown,UI,P3,Account Maintenance main page is loaded,"1. Click on Operating Mode dropdown","Operating modes are displayed for selection",,,,,
TC_AM_IDX_012,Verify Account Class dropdown,UI,P3,Account Maintenance main page is loaded,"1. Click on Account Class dropdown","Account classes are displayed for selection",,,,,
TC_AM_IDX_013,Verify Account Officer dropdown,UI,P3,Account Maintenance main page is loaded,"1. Click on Account Officer dropdown","Account officers are displayed for selection",,,,,
TC_AM_IDX_014,Verify no account selected error,Validation,P2,Account Maintenance main page without account selected,"1. Click on any submodule without selecting account","Error message indicating account must be selected first",,,,,
TC_AM_IDX_015,Verify blocking confirmation modal,UI,P2,Blocking submodule is active,"1. Attempt to block/unblock an account
2. Observe confirmation modal","Confirmation modal appears with confirm/cancel options",,,,,
