"Test Case ID","Test Case Description","Category","Priority","Preconditions","Test Steps","Expected Result","Actual Result","Status","Tested By","Test Date","Remarks"
"TC_AU_SIT_001","Verify Standing Instruction Type module loads successfully","Functional","P1","User is logged in with access to Account Utilities","1. Navigate to Start > Account Utilities > Standing Instruction Type | 2. Wait for page load completion | 3. Verify the form sections, action panel, and message panel are visible","Standing Instruction Type screen loads without console errors and the full layout is displayed correctly","","Not Executed","","",""
"TC_AU_SIT_002","Verify default VIEW mode button and field states on initial load","UI","P1","Module is opened successfully","1. Open Standing Instruction Type | 2. Inspect form field editability and action buttons","Fields are non-editable in VIEW mode, successful and failure transaction lookups are disabled, SI Type lookup is enabled, and Save stays disabled until Add or Edit is selected","","Not Executed","","",""
"TC_AU_SIT_003","Verify section headers collapse and expand their content","UI","P3","Module is loaded","1. Toggle each section header to collapse | 2. Toggle again to expand","Each section hides and shows content correctly while updating the chevron icon and aria-expanded state","","Not Executed","","",""
"TC_AU_SIT_004","Verify SI Type lookup search and selection","Functional","P1","Module is in VIEW mode","1. Click the SI Type lookup icon | 2. Search for an existing instruction type | 3. Select a row","Instruction Type ID and description fields are populated from the selected search result","","Not Executed","","",""
"TC_AU_SIT_005","Verify View action loads an existing Standing Instruction Type by entered ID","Functional","P1","A valid Standing Instruction Type ID exists","1. Enter a valid Instruction Type ID | 2. Click View | 3. Review all form sections","Existing data loads successfully, audit fields are populated when available, and the module remains in VIEW mode","","Not Executed","","",""
"TC_AU_SIT_006","Verify View action warns when Instruction Type ID is blank","Validation","P1","Instruction Type ID field is empty and no record is loaded","1. Open the module fresh | 2. Click View","System clears the form, stays in VIEW mode, and shows a warning prompting the user to enter an Instruction Type ID","","Not Executed","","",""
"TC_AU_SIT_007","Verify missing-record flow enables Add from VIEW mode","Business","P1","A non-existing Instruction Type ID is known","1. Enter a non-existing Instruction Type ID | 2. Click View | 3. Observe button states and feedback","System keeps the entered ID, shows a warning that the record was not found, and enables Add so the user can create the new record","","Not Executed","","",""
"TC_AU_SIT_008","Verify Add action preserves a typed missing Instruction Type ID","Functional","P1","A non-existing Instruction Type ID was entered in VIEW mode","1. Enter a new Instruction Type ID | 2. Click View until record-not-found state is shown | 3. Click Add","Form enters ADD mode and retains the typed Instruction Type ID so the user can create the missing record","","Not Executed","","",""
"TC_AU_SIT_009","Verify Add action clears the form for a new entry when no ID was pre-entered","Functional","P2","No record is loaded and Instruction Type ID field is blank","1. Click Add | 2. Inspect form state","Form is cleared, editable inputs become enabled, transaction lookups are enabled, and Save plus Cancel become available","","Not Executed","","",""
"TC_AU_SIT_010","Verify successful transaction lookup populates transaction fields","Functional","P2","User is in Add or Edit mode","1. Click the Successful Transaction lookup icon | 2. Search for a valid transaction description | 3. Select a row","Successful Transaction ID and transaction description fields populate with the selected lookup values","","Not Executed","","",""
"TC_AU_SIT_011","Verify failure transaction lookup populates transaction fields","Functional","P2","User is in Add or Edit mode","1. Click the Failure Transaction lookup icon | 2. Search for a valid transaction description | 3. Select a row","Failure Transaction ID and transaction description fields populate with the selected lookup values","","Not Executed","","",""
"TC_AU_SIT_012","Create a new Standing Instruction Type with valid data","Functional","P1","User is in Add mode with valid transfer type and optional transaction references available","1. Click Add | 2. Enter Instruction Type ID, description, transfer type, retry settings, charge type, narrations, and optional transaction IDs | 3. Click Save","Record is saved successfully, success feedback is shown, and the created record can be reloaded in VIEW mode","","Not Executed","","",""
"TC_AU_SIT_013","Verify Freeze Amount On Failure checkbox is persisted through save and reload","Business","P1","User is in Add or Edit mode","1. Tick Freeze Amount On Failure | 2. Save the record | 3. Reload the same record","Checkbox state is sent as 1 on save and reloads as checked when the backend returns the freeze flag","","Not Executed","","",""
"TC_AU_SIT_014","Verify Edit action is available only after a record is loaded","Validation","P1","No Standing Instruction Type record is loaded","1. Open the module fresh | 2. Attempt to use Edit if available","Edit remains unavailable until a record has been loaded in VIEW mode","","Not Executed","","",""
"TC_AU_SIT_015","Verify Edit mode keeps Instruction Type ID locked","Business","P1","An existing Standing Instruction Type record is loaded","1. Load a record | 2. Click Edit | 3. Inspect the Instruction Type ID field","Instruction Type ID remains disabled in EDIT mode while other editable controls are enabled","","Not Executed","","",""
"TC_AU_SIT_016","Update an existing Standing Instruction Type successfully","Functional","P1","An existing record is loaded in VIEW mode","1. Click Edit | 2. Change editable values such as description, retries, charge type, or narrations | 3. Click Save","Record updates successfully, success feedback is shown, and latest values are visible after reload","","Not Executed","","",""
"TC_AU_SIT_017","Verify update flow preserves original created metadata","Integration","P2","An existing record with Created By and Created On metadata is loaded","1. Load a record | 2. Click Edit | 3. Change one field | 4. Save | 5. Reload the record","Update request preserves original created metadata while modified metadata is refreshed by the backend","","Not Executed","","",""
"TC_AU_SIT_018","Verify delete passes update count and removes the record","Integration","P1","An existing record with a known UpdateCount is loaded and user has delete rights","1. Load a record | 2. Click Delete | 3. Confirm the delete dialog | 4. Inspect the request if network tools are available","Delete request includes SITypeID and update count fields and the record is removed successfully","","Not Executed","","",""
