Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_MF_GMBS_001,Verify Group Members screen loads successfully,Functional,P1,User is logged in and has access to MicroFinance View modules,1. Open Group Maintenance | 2. Navigate to View > Group Members | 3. Wait for page load,Group Members screen loads with filter section members list and action panel visible,,Not Executed,,,
TC_MF_GMBS_002,Verify hidden module ID value is rendered,Integration,P3,Screen is opened from parent with module context,1. Inspect hidden field moduleId_group_members,Hidden module ID exists and is populated with context value or default from parent,,Not Executed,,,
TC_MF_GMBS_003,Verify header controls are visible,UI,P3,Screen is loaded,1. Observe top header area,Refresh and Close buttons are visible with proper icons titles and accessibility labels,,Not Executed,,,
TC_MF_GMBS_004,Verify Filter Options section default state,UI,P3,Screen is loaded,1. Check Filter Options section immediately after load,Filter Options section is expanded and Scheme dropdown is visible,,Not Executed,,,
TC_MF_GMBS_005,Verify Members List section default state,UI,P3,Screen is loaded,1. Check Members List section immediately after load,Members List section is expanded and table headers are visible,,Not Executed,,,
TC_MF_GMBS_006,Verify section collapse and expand behavior,UI,P3,Screen is loaded,1. Collapse each section using toggle button | 2. Expand each section again,Section content toggles correctly and chevron state updates,,Not Executed,,,
TC_MF_GMBS_007,Verify Scheme dropdown is populated,Functional,P1,Screen data sources are available,1. Open Scheme dropdown,Scheme dropdown contains available scheme options with default Select a scheme option,,Not Executed,,,
TC_MF_GMBS_008,Verify View action requires scheme selection,Validation,P1,No scheme is selected,1. Leave scheme empty | 2. Click View,System blocks request and shows validation prompting scheme selection,,Not Executed,,,
TC_MF_GMBS_009,Verify View action loads members for selected scheme,Functional,P1,Valid scheme is selected with available members,1. Select a valid scheme | 2. Click View,Members table loads records matching selected scheme,,Not Executed,,,
TC_MF_GMBS_010,Verify empty state when selected scheme has no members,Functional,P2,Select scheme with no mapped members,1. Select a scheme with zero members | 2. Click View,Table shows No records to display state and no stale rows remain,,Not Executed,,,
TC_MF_GMBS_011,Verify table columns map correctly to data fields,Functional,P1,Members data is loaded,1. Load members for a populated scheme | 2. Inspect each column value,Client Group Loan Savings balances and leader flags appear in correct columns,,Not Executed,,,
TC_MF_GMBS_012,Verify loan balance and savings balance display formatting,UI,P2,Members with monetary balances are loaded,1. Load populated members list | 2. Inspect Loan Balance and Total Savings Balance values,Numeric balances are readable and consistently formatted for display,,Not Executed,,,
TC_MF_GMBS_013,Verify join date column displays valid date values,Functional,P2,Members data is loaded,1. Inspect Join Date values across rows,Join Date values render as valid dates and correspond to returned data,,Not Executed,,,
TC_MF_GMBS_014,Verify Center Leader indicator reflects business designation,Business,P1,Loaded scheme has mixed leader and non-leader members,1. Load scheme members | 2. Compare Center Leader field against known data,Leader indicator matches business designation rules per member,,Not Executed,,,
TC_MF_GMBS_015,Verify group consistency under selected scheme,Business,P1,Members data is loaded for one scheme,1. Select one scheme | 2. Click View | 3. Validate Group ID and Group Name distribution,Returned members belong only to groups valid for selected scheme context,,Not Executed,,,
TC_MF_GMBS_016,Verify Cancel action resets current view state,Functional,P2,Members are currently loaded after a View action,1. Click Cancel,Form resets to default state and previous transient filters/results are cleared per module behavior,,Not Executed,,,
TC_MF_GMBS_017,Verify Refresh action reloads latest members data,Integration,P2,Scheme is selected and members are loaded,1. Click Refresh | 2. Observe data refresh,Latest server data is fetched and table updates without page crash,,Not Executed,,,
TC_MF_GMBS_018,Verify loading overlay behavior during data fetch,UI,P3,Trigger View or Refresh operation,1. Click View or Refresh | 2. Observe loading overlay,Loading overlay appears during fetch and hides when operation completes,,Not Executed,,,
TC_MF_GMBS_019,Verify Close action returns safely to parent context,Integration,P2,Screen is open as child page or iframe,1. Click Close,Child screen closes and parent Group Maintenance state remains stable,,Not Executed,,,
TC_MF_GMBS_020,Verify View API request includes selected scheme identifier,Integration,P2,Browser network tools are available,1. Select scheme | 2. Click View | 3. Inspect request payload,Request contains selected scheme identifier and module context as expected,,Not Executed,,,
TC_MF_GMBS_021,Verify unauthorized access handling for Group Members,Validation,P1,User lacks permission for Group Members view,1. Attempt direct navigation to Group Members URL,System denies access or limits operations per authorization rules,,Not Executed,,,
TC_MF_GMBS_022,Verify table remains read-only for view-only screen,Business,P2,Members list is loaded,1. Try editing any table cell content directly from UI,Grid behaves as read-only and does not allow edit operations,,Not Executed,,,
TC_MF_GMBS_023,Verify scheme change and re-view replaces old result set,Functional,P1,At least two schemes have different member sets,1. Select scheme A and click View | 2. Select scheme B and click View,Second view replaces old rows with new scheme-specific member rows without mixing,,Not Executed,,,
TC_MF_GMBS_024,Verify handling of long client and group names in table,UI,P3,Loaded members include long text values,1. Load data with long names | 2. Inspect table rendering,Long text does not break layout and remains readable within table constraints,,Not Executed,,,
TC_MF_GMBS_025,Verify Loan Account ID and Savings Account ID mapping,Functional,P2,Members data is loaded,1. Load populated list | 2. Compare account IDs with expected records,Loan and savings account IDs are correctly bound per member,,Not Executed,,,
TC_MF_GMBS_026,Verify no stale data after selecting blank scheme and cancel,Validation,P2,Members were previously loaded,1. Clear scheme selection | 2. Click Cancel | 3. Observe table,Stale member rows are cleared and screen returns to neutral default state,,Not Executed,,,
TC_MF_GMBS_027,Verify behavior with service timeout or backend failure,Integration,P1,Simulate API failure or temporary backend outage,1. Select scheme | 2. Click View during failure window,System shows user-friendly error feedback and avoids UI freeze or crash,,Not Executed,,,
TC_MF_GMBS_028,Verify keyboard accessibility for filter and actions,UI,P3,Screen is loaded,1. Navigate using keyboard Tab and Enter keys | 2. Execute View and Cancel,Focusable controls follow logical order and actions can be triggered via keyboard,,Not Executed,,,
TC_MF_GMBS_029,Verify message feedback for validation and successful load,UI,P3,Screen is loaded,1. Trigger validation by clicking View without scheme | 2. Select scheme and click View,System provides clear feedback for both validation and successful retrieval,,Not Executed,,,
TC_MF_GMBS_030,Verify business rule for scheme-scoped member visibility,Business,P1,User has access to only subset of scheme/member data by business entitlement,1. Select scheme | 2. Click View | 3. Compare with entitlement rules,Only authorized members for the selected scheme and user context are displayed,,Not Executed,,,
