Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_MF_GRT_001,Verify GRT Details screen loads successfully,Functional,P1,User is logged in and has access to MicroFinance Data Entry modules,1. Open Group Maintenance | 2. Navigate to Data Entry > GRT Details | 3. Wait for page load,GRT Details screen loads with all core sections and controls visible without blocking errors,,Not Executed,,,
TC_MF_GRT_002,Verify hidden module ID value is rendered,Integration,P3,Screen is opened with module context,1. Inspect hidden field moduleId_grt_details,Hidden module field exists and contains module ID context value,,Not Executed,,,
TC_MF_GRT_003,Verify window header controls are visible,UI,P3,Screen is loaded,1. Observe header area,Title icon Refresh and Close buttons are visible and accessible,,Not Executed,,,
TC_MF_GRT_004,Verify GRT Information section default expanded state,UI,P3,Screen is loaded,1. Observe GRT Information section on first load,Section is expanded and form controls are visible,,Not Executed,,,
TC_MF_GRT_005,Verify Behind the Scene section default expanded state,UI,P3,Screen is loaded,1. Observe Behind the Scene section on first load,Section is expanded and audit items are visible,,Not Executed,,,
TC_MF_GRT_006,Verify section collapse and expand behavior,UI,P3,Screen is loaded,1. Collapse and expand each section using toggle buttons,Section visibility and chevron states change correctly,,Not Executed,,,
TC_MF_GRT_007,Verify Scheme lookup opens search modal,Functional,P1,Screen is in mode that allows lookup actions,1. Click Scheme lookup icon,Search modal opens for Scheme lookup,,Not Executed,,,
TC_MF_GRT_008,Verify Scheme selection populates Scheme ID and Scheme Name,Functional,P1,Scheme lookup modal has result rows,1. Search and select a valid scheme,Scheme ID and Scheme Name populate correctly,,Not Executed,,,
TC_MF_GRT_009,Verify View action loads existing GRT record,Functional,P1,Valid key context exists for a GRT record,1. Click View | 2. Wait for load,Existing GRT details are loaded into all relevant fields,,Not Executed,,,
TC_MF_GRT_010,Verify Add action enables data entry workflow,Business,P1,Screen is loaded in default mode,1. Click Add | 2. Observe control and button states,Form enters add mode with editable fields and valid action-state transitions,,Not Executed,,,
TC_MF_GRT_011,Verify Edit action requires an existing loaded record,Validation,P1,No GRT record is loaded,1. Click Edit,System blocks edit and prompts to load/view a valid record first,,Not Executed,,,
TC_MF_GRT_012,Verify Delete action requires an existing loaded record,Validation,P1,No GRT record is loaded,1. Click Delete,System blocks delete and shows validation message,,Not Executed,,,
TC_MF_GRT_013,Verify required field validation on Save,Validation,P1,Add mode is active,1. Leave key required fields empty | 2. Click Save,System blocks save and shows required field validation for mandatory GRT inputs,,Not Executed,,,
