Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_MF_GBD_001,Verify Group Bank Details screen loads successfully,Functional,P1,User is authenticated and can open Group Maintenance submodules,1. Open Group Maintenance | 2. Open Data Entry > Center Bank Details | 3. Wait for iframe page load,Group Bank Details page loads with no blocking errors and all main sections are visible,,Not Executed,,,
TC_MF_GBD_002,Verify page header actions are visible,UI,P3,Group Bank Details screen is loaded,1. Observe header area | 2. Verify Refresh and Close buttons are present,Header shows title icon refresh and close controls with proper tooltips,,Not Executed,,,
TC_MF_GBD_003,Verify module ID hidden value is present,Integration,P3,Screen is loaded from parent module,1. Inspect hidden input moduleId_group_bank_details,Module ID hidden field is populated with query value or default 100,,Not Executed,,,
TC_MF_GBD_004,Verify Account Type dropdown population,Functional,P2,Screen is loaded with ViewData options,1. Open Account Type dropdown | 2. Review options list,Dropdown shows --Select-- and configured account type options,,Not Executed,,,
TC_MF_GBD_005,Verify Institution Type dropdown population,Functional,P2,Screen is loaded with ViewData options,1. Open Institution Type dropdown | 2. Review options list,Dropdown shows --Select-- and configured institution type options,,Not Executed,,,
TC_MF_GBD_006,Verify Bank lookup opens search modal and selects record,Functional,P1,Screen is in Add or Edit mode,1. Click Bank lookup icon | 2. Search and pick a bank,Selected bank ID and institution name populate correctly,,Not Executed,,,
TC_MF_GBD_007,Verify Branch lookup opens search modal and selects branch,Functional,P1,Screen is in Add or Edit mode,1. Click Branch lookup icon | 2. Search and pick a branch,Selected branch ID and branch name populate correctly,,Not Executed,,,
TC_MF_GBD_008,Verify View action loads existing group bank accounts,Functional,P1,Group context exists with saved bank details,1. Click View | 2. Observe table and form values,Existing bank details are retrieved and shown in list and relevant fields,,Not Executed,,,
TC_MF_GBD_009,Verify Add action enables form fields for entry,Business,P1,Screen is loaded in default mode,1. Click Add | 2. Check editable inputs and inline row actions,Data entry controls become editable and flow switches to add mode,,Not Executed,,,
TC_MF_GBD_010,Verify Edit action requires an existing selected record,Validation,P1,No table row is selected,1. Click Edit without selecting row,System blocks edit and prompts user to select a record first,,Not Executed,,,
TC_MF_GBD_011,Verify Delete action requires selected record,Validation,P1,No table row is selected,1. Click Delete without selecting row,System blocks delete and shows selection validation message,,Not Executed,,,
TC_MF_GBD_012,Create new bank detail record with valid mandatory data,Functional,P1,Add mode is active,1. Select Account Type and Institution Type | 2. Select Bank and Branch | 3. Enter Account ID and Title Of Account | 4. Click Save,Record is saved successfully and appears in Bank Accounts List,,Not Executed,,,
TC_MF_GBD_013,Validate mandatory fields on Save in Add mode,Validation,P1,Add mode is active,1. Leave key fields empty | 2. Click Save,System prevents save and shows required field validation messages,,Not Executed,,,
TC_MF_GBD_014,Verify Account ID uniqueness rule during add,Business,P1,One bank account record already exists for context,1. Click Add | 2. Enter duplicate Account ID | 3. Click Save,System rejects duplicate account identifier per business rule,,Not Executed,,,
TC_MF_GBD_015,Verify account type and institution type business compatibility,Business,P2,Business matrix is configured for valid combinations,1. Pick incompatible Account Type and Institution Type | 2. Attempt Save,System blocks invalid pair and displays meaningful business validation feedback,,Not Executed,,,
TC_MF_GBD_016,Verify numeric format validation for Balance field,Validation,P2,Add or Edit mode is active,1. Enter non numeric text in Balance | 2. Click Save,System rejects invalid numeric format for balance,,Not Executed,,,
TC_MF_GBD_017,Verify numeric format validation for Advance Amount field,Validation,P2,Add or Edit mode is active,1. Enter non numeric text in Advance Amount | 2. Click Save,System rejects invalid numeric format for advance amount,,Not Executed,,,
TC_MF_GBD_018,Verify numeric format validation for Monthly Payment field,Validation,P2,Add or Edit mode is active,1. Enter non numeric text in Monthly Payment | 2. Click Save,System rejects invalid numeric format for monthly payment,,Not Executed,,,
TC_MF_GBD_019,Verify New inline button clears inline entry context,Functional,P3,At least one row exists and row is selected,1. Select a row | 2. Click inline New,Inline form resets for fresh row entry and no stale selection remains,,Not Executed,,,
TC_MF_GBD_020,Verify Alter inline button loads selected row data,Functional,P2,At least one row exists and row is selected,1. Select table row | 2. Click inline Alter,Selected row values populate inline fields for modification,,Not Executed,,,
TC_MF_GBD_021,Verify Remove inline button deletes selected row entry,Functional,P2,At least one row exists and row is selected,1. Select row | 2. Click inline Remove | 3. Confirm action,Selected row is removed from list and success feedback is shown,,Not Executed,,,
TC_MF_GBD_022,Verify Update inline button applies inline changes,Functional,P2,Selected row is in alter mode,1. Modify inline values | 2. Click inline Update,Row data updates in list and pending changes are retained for final save flow,,Not Executed,,,
TC_MF_GBD_023,Verify Clear inline button resets inline fields,UI,P3,Inline fields contain values,1. Enter sample inline values | 2. Click inline Clear,Inline input controls are cleared and focus returns to first inline input,,Not Executed,,,
TC_MF_GBD_024,Verify Cancel action discards unsaved add changes,Business,P1,Add mode with unsaved data,1. Click Add | 2. Enter data | 3. Click Cancel,Unsaved changes are discarded and form returns to previous safe state,,Not Executed,,,
TC_MF_GBD_025,Verify Cancel action discards unsaved edit changes,Business,P1,Edit mode with modified values,1. Select record | 2. Click Edit | 3. Modify values | 4. Click Cancel,Original persisted values are restored and edit mode exits,,Not Executed,,,
TC_MF_GBD_026,Verify Delete action with confirmation removes persisted record,Functional,P1,Existing record selected with delete permission,1. Select record | 2. Click Delete | 3. Confirm dialog,Record is deleted from backend and removed from table,,Not Executed,,,
TC_MF_GBD_027,Verify table empty state message when no records exist,UI,P3,No bank records exist for current context,1. Click View for empty context,Table shows No records to display message spanning all columns,,Not Executed,,,
TC_MF_GBD_028,Verify section collapse and expand behavior for all sections,UI,P3,Screen is loaded,1. Collapse each section using chevron | 2. Expand each section again,Section contents toggle correctly and chevron state updates,,Not Executed,,,
TC_MF_GBD_029,Verify Behind the Scene fields remain read-only,Business,P2,Record is loaded,1. Load existing record | 2. Inspect Created and Modified labels,Audit fields are display only and cannot be edited,,Not Executed,,,
TC_MF_GBD_030,Verify refresh button reloads latest data,Integration,P2,Screen has existing data loaded,1. Modify data in another session or setup | 2. Click Refresh,Latest backend data is reloaded without requiring page reopen,,Not Executed,,,
TC_MF_GBD_031,Verify close button returns user to parent flow safely,Integration,P2,Screen is open in iframe from parent,1. Click Close button,Child screen closes and parent context remains stable,,Not Executed,,,
TC_MF_GBD_032,Verify bank and branch search are blocked in view only state,Business,P3,Screen is in strict view mode after load,1. Keep screen in view mode | 2. Try lookup actions if disabled by state rules,Lookup controls follow mode rules and do not allow unintended edits,,Not Executed,,,
TC_MF_GBD_033,Verify save request payload contains all expected fields,Integration,P2,Browser network tab is available,1. Save a new or edited record | 2. Inspect request payload,Payload contains account type institution type bank and branch identifiers and financial fields,,Not Executed,,,
TC_MF_GBD_034,Verify unauthorized access handling for Group Bank Details,Validation,P1,User lacks permission for Group Bank Details,1. Attempt direct URL access,System denies access or enforces restricted behavior based on authorization,,Not Executed,,,
TC_MF_GBD_035,Verify title and account labels map to correct data in list,Business,P2,At least one record exists,1. Save record with distinct Title Of Account and Account ID | 2. Review table row,Displayed row maps each value to correct column with no field swap,,Not Executed,,,
TC_MF_GBD_036,Verify signatory and terms persistence after save and view,Functional,P2,Add or Edit mode with valid values,1. Enter Signatory and Terms | 2. Save | 3. View record again,Signatory and Terms persist correctly after reload,,Not Executed,,,
