Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_CS_001,Verify Client Supervision module loads successfully,Functional,P1,User is authenticated and has access to Client Supervision (Module ID 7080),"1. Log in to KAIRO
2. Navigate to Identities > Client Supervision
3. Wait for the page to load completely",Page loads without errors. All sections (Client Supervision list and Client Details) are visible. No JavaScript errors in console.,,,Not Executed,,,
TC_CS_002,Verify initial action button states on load,UI,P1,Client Supervision module is loaded,"1. Observe the action panel buttons on the right rail
2. Note the state of View / Approve / Reject / Close buttons","View, Approve and Reject buttons are disabled. Close button is enabled. No client is selected.",,,Not Executed,,,
TC_CS_003,Verify pending supervision table is empty on initial load,UI,P2,Client Supervision module is loaded and no branch filter applied,"1. Observe the supervision list table
2. Check the record count label","Table shows 'No pending supervisions found' placeholder row. Record count shows '0 records'.",,,Not Executed,,,
TC_CS_004,Verify dropdown data is populated from server (dropdowns in Client Details),Functional,P1,Client Supervision module is loaded,"1. Once a client is loaded in the detail tabs verify each dropdown
2. Check Client Type / Title / Gender / Resident / Country / Literacy Level / ID Type / Marital Status / Address Type / Employment Status / Occupation dropdowns","All dropdowns contain options loaded from the server via ViewData. No dropdown shows empty (except the default placeholder option).",,,Not Executed,,,
TC_CS_005,Verify module ID is correctly set to 7080,Integration,P2,Client Supervision module is loaded,"1. Inspect the hidden field #moduleId in the DOM (browser DevTools)
2. Confirm its value","Hidden field #moduleId has value '7080'.",,,Not Executed,,,
TC_CS_006,Verify branch filter button opens the dropdown panel,Functional,P1,Client Supervision module is loaded,"1. Click the Branch Filter button (btn_branchFilter)
2. Observe the dropdown panel","Branch filter dropdown panel opens showing a list of available branches with checkboxes. 'Select All' checkbox is visible at the top.",,,Not Executed,,,
TC_CS_007,Verify selecting a single branch in the filter,Functional,P1,Branch filter panel is open and branches are listed,"1. Check a single branch checkbox from the list
2. Observe the filter button label","The selected branch name/code appears in the branch filter button label text (spn_branchFilterText). Checkbox remains checked.",,,Not Executed,,,
TC_CS_008,Verify selecting multiple branches in the filter,Functional,P1,Branch filter panel is open,"1. Check two or more branch checkboxes
2. Observe the filter button label","Filter button label updates to show multiple branches selected (e.g. 'Branch A, Branch B' or count summary).",,,Not Executed,,,
TC_CS_009,Verify Select All branches checkbox,Functional,P2,Branch filter panel is open with multiple branches available,"1. Click the 'Select All' checkbox (chk_selectAllBranches)
2. Observe all individual branch checkboxes","All branch checkboxes become checked. 'Select All' checkbox is checked.",,,Not Executed,,,
TC_CS_010,Verify deselecting all branches via Select All,Functional,P2,All branches are selected in the filter,"1. Click the 'Select All' checkbox again to deselect
2. Observe all individual branch checkboxes","All branch checkboxes become unchecked. 'Select All' checkbox is unchecked.",,,Not Executed,,,
TC_CS_011,Verify branch filter panel closes when clicking outside,UI,P3,Branch filter panel is open,"1. Click anywhere outside the branch filter dropdown panel
2. Observe the panel state","Branch filter panel closes.",,,Not Executed,,,
TC_CS_012,Verify branch filter is applied when loading pending supervisions,Functional,P1,User has selected at least one branch in the filter,"1. Select a branch from the filter
2. Click the View button
3. Observe the supervision list table","API call is made with the selected branch(es) in OurBranchID / BranchList. Table is populated with pending supervisions for those branches.",,,Not Executed,,,
TC_CS_013,Verify pending supervision list loads correctly with data,Functional,P1,"Branch filter has at least one branch selected, pending supervision records exist in the system","1. Select a valid branch
2. Click View
3. Observe the supervision table","Table rows appear with columns: radio button | Client ID | and other supervision columns. Record count label updates. Rows are selectable via radio button.",,,Not Executed,,,
