Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_MF_GD_001,Verify Group Details screen loads successfully,Functional,P1,User is logged in and has access to Group Maintenance Data Entry modules,1. Open Group Maintenance | 2. Click Data Entry > Group Details | 3. Wait for load completion,Group Details screen loads with no blocking error and core sections are visible,,Not Executed,,,
TC_MF_GD_002,Verify module ID hidden value is rendered,Integration,P3,Screen is opened from parent module with module context,1. Inspect hidden field moduleId_group_details,Hidden field exists and contains module context value,,Not Executed,,,
TC_MF_GD_003,Verify header controls are visible,UI,P3,Group Details screen is loaded,1. Observe title bar and right side controls,Refresh and Close buttons are visible with proper icons and tooltips,,Not Executed,,,
TC_MF_GD_004,Verify Group Information section default state,UI,P3,Screen is loaded,1. Check Group Information section on initial load,Section is expanded by default and Sub Group controls are visible,,Not Executed,,,
TC_MF_GD_005,Verify Behind the Scene section default state,UI,P3,Screen is loaded,1. Check Behind the Scene section on initial load,Section is expanded by default and audit summary fields are visible,,Not Executed,,,
TC_MF_GD_006,Verify section collapse and expand interactions,UI,P3,Screen is loaded,1. Collapse Group Information | 2. Expand Group Information | 3. Collapse Behind the Scene | 4. Expand Behind the Scene,Each section toggles correctly and chevron icon state updates,,Not Executed,,,
TC_MF_GD_007,Verify Sub Group lookup opens search modal,Functional,P1,Screen is in mode that allows subgroup selection,1. Click Sub Group lookup icon,Search modal opens for Sub Group lookup,,Not Executed,,,
TC_MF_GD_008,Verify Sub Group selection populates ID and description,Functional,P1,Search modal is open with selectable records,1. Search valid subgroup | 2. Select a record,Sub Group ID and Group Description fields populate with selected values,,Not Executed,,,
TC_MF_GD_009,Verify View action loads existing subgroup details,Functional,P1,Valid subgroup is selected,1. Click View | 2. Wait for load,Existing subgroup details and audit summary values are retrieved and displayed,,Not Executed,,,
TC_MF_GD_010,Verify Add action enables data entry flow,Business,P1,Screen is loaded in view/default mode,1. Click Add | 2. Observe control and button state changes,Screen enters add mode with editable controls and Save/Cancel enabled per business flow,,Not Executed,,,
TC_MF_GD_011,Verify Edit action requires loaded record,Validation,P1,No existing subgroup record is loaded,1. Click Edit,System blocks edit and prompts user to load/view a valid record first,,Not Executed,,,
TC_MF_GD_012,Verify Delete action requires loaded record,Validation,P1,No existing subgroup record is loaded,1. Click Delete,System blocks delete and shows validation prompt,,Not Executed,,,
TC_MF_GD_013,Verify Save action enforces required subgroup fields,Validation,P1,Add mode is active,1. Leave Sub Group ID and/or description empty | 2. Click Save,System prevents save and displays required field validation,,Not Executed,,,
TC_MF_GD_014,Create new Group Details record with valid data,Functional,P1,Add mode is active and user has create permission,1. Enter valid subgroup values | 2. Click Save,Record is created successfully and success feedback is shown,,Not Executed,,,
TC_MF_GD_015,Verify duplicate Sub Group ID is rejected,Business,P1,An existing subgroup record already exists,1. Click Add | 2. Enter duplicate Sub Group ID | 3. Click Save,System rejects duplicate subgroup as per business uniqueness rule,,Not Executed,,,
TC_MF_GD_016,Edit existing Group Details record,Functional,P1,Existing record loaded in view mode,1. Click Edit | 2. Update editable values | 3. Click Save,Record is updated successfully and latest values display on view,,Not Executed,,,
TC_MF_GD_017,Cancel in Add mode discards unsaved changes,Business,P1,Add mode active with unsaved input,1. Click Add | 2. Enter test values | 3. Click Cancel,Unsaved values are discarded and screen returns to safe default/view state,,Not Executed,,,
TC_MF_GD_018,Cancel in Edit mode restores original values,Business,P1,Existing record loaded and modified in Edit mode,1. Click Edit | 2. Modify values | 3. Click Cancel,Original persisted values are restored and edit mode exits,,Not Executed,,,
TC_MF_GD_019,Delete existing Group Details record with confirmation,Functional,P1,Existing record selected and delete permission available,1. Click Delete | 2. Confirm in dialog,Record is deleted successfully and form state resets,,Not Executed,,,
TC_MF_GD_020,Verify audit summary fields are read-only,Business,P2,Any record is loaded,1. Attempt to edit No. Of Members Loan Cycle Required or audit values,Audit summary fields remain non-editable display-only values,,Not Executed,,,
TC_MF_GD_021,Verify No. Of Members reflects backend state,Integration,P2,Loaded record has known member count,1. View record | 2. Compare displayed No. Of Members with backend/expected value,Displayed member count matches backend response,,Not Executed,,,
TC_MF_GD_022,Verify Loan Cycle Required value maps correctly,Business,P2,Loaded record has configured loan cycle requirement,1. View record | 2. Inspect Loan Cycle Required field,Displayed value matches configured business rule output,,Not Executed,,,
TC_MF_GD_023,Verify refresh button reloads latest server data,Integration,P2,Record is loaded and refresh action available,1. Click Refresh | 2. Observe loading indicator and final data state,Screen reloads latest values from backend and reflects updates,,Not Executed,,,
TC_MF_GD_024,Verify loading overlay behavior during server operations,UI,P3,Trigger a View or Refresh operation,1. Execute View or Refresh | 2. Observe loading overlay,Loading overlay appears during request and hides after completion,,Not Executed,,,
TC_MF_GD_025,Verify close action returns user to parent context,Integration,P2,Group Details opened as child screen/iframe,1. Click Close,Child screen closes without breaking parent Group Maintenance page state,,Not Executed,,,
TC_MF_GD_026,Verify Save API payload includes expected identifiers,Integration,P2,Browser network tab available and save operation executed,1. Perform Add or Edit Save | 2. Inspect network request payload,Payload includes module context subgroup identifiers and relevant data fields,,Not Executed,,,
TC_MF_GD_027,Verify unauthorized access handling for Group Details,Validation,P1,User lacks Group Details permission,1. Attempt direct navigation to Group Details URL,System denies access or enforces restricted behavior per authorization policy,,Not Executed,,,
TC_MF_GD_028,Verify action button state transitions across modes,Business,P1,Screen available with at least one existing record,1. Observe buttons in default mode | 2. Enter Add mode | 3. Enter Edit mode | 4. Return via Cancel,View Add Edit Delete Save Cancel buttons transition correctly according to business workflow state rules,,Not Executed,,,
