"Test Case ID","Test Case Description","Category","Priority","Preconditions","Test Steps","Expected Result","Actual Result","Status","Tested By","Test Date","Remarks"
"TC_AU_DDM_001","Verify Direct Debit Maintenance module loads successfully","Functional","P1","User is logged in with access to Account Utilities","1. Navigate to Start > Account Utilities > Direct Debit Maintenance | 2. Wait for page load completion | 3. Verify the main form, action panel, and message panel are visible","Direct Debit Maintenance screen loads without console errors and core sections are rendered correctly","","Not Executed","","",""
"TC_AU_DDM_002","Verify default VIEW mode button states on initial load","UI","P1","Module is opened successfully","1. Open Direct Debit Maintenance | 2. Observe View, Add, Edit, Delete, Stop, Print, Save, and Cancel buttons","View and Add are available for a new session, while Edit, Delete, Stop, Print, and Save remain disabled until a record is loaded","","Not Executed","","",""
"TC_AU_DDM_003","Verify form fields are read-only in VIEW mode","Business","P1","Module is opened successfully","1. Open Direct Debit Maintenance | 2. Try typing into editable-looking fields before clicking Add or Edit","Inputs, selects, textareas, and lookup buttons remain disabled in VIEW mode except the Direct Debit Instruction lookup used for loading records","","Not Executed","","",""
"TC_AU_DDM_004","Verify section headers collapse and expand their content","UI","P3","Module is loaded","1. Click each section header once to collapse the content | 2. Click again to expand it","Section content toggles correctly and the chevron icon plus aria-expanded state are updated consistently","","Not Executed","","",""
"TC_AU_DDM_005","Verify refresh clears the form when no record is loaded","Functional","P3","Module is opened with no record currently loaded","1. Click the window refresh action | 2. Observe the form state","The form remains cleared, audit labels stay at default placeholders, and the module stays in VIEW mode","","Not Executed","","",""
"TC_AU_DDM_006","Verify branch lookup search and selection","Functional","P1","User switches the module to Add mode","1. Click Add | 2. Click the Branch lookup icon | 3. Search for a valid branch | 4. Select a branch","Selected branch ID and branch name populate the Branch fields correctly","","Not Executed","","",""
"TC_AU_DDM_007","Verify account lookup is filtered by selected branch","Integration","P1","User is in Add or Edit mode and a valid Branch ID is selected","1. Click the Account lookup icon | 2. Search for accounts | 3. Select a result","Account lookup uses the selected branch as a filter and fills Account ID and Account Name with the chosen account","","Not Executed","","",""
"TC_AU_DDM_008","Verify currency lookup populates transaction currency fields","Functional","P2","User is in Add or Edit mode","1. Click the Transaction Currency lookup icon | 2. Search for a valid currency | 3. Select a row","Currency ID and currency description are populated in the transaction currency fields","","Not Executed","","",""
"TC_AU_DDM_009","Verify contra bank lookup resets contra branch context","Business","P2","User is in Add or Edit mode and a Contra Branch was previously selected","1. Select a Contra Bank | 2. Observe Contra Branch fields after bank selection","Contra Bank ID and name are populated and existing Contra Branch ID and name are cleared to avoid stale branch context","","Not Executed","","",""
"TC_AU_DDM_010","Verify contra branch lookup is filtered by selected contra bank","Integration","P2","User is in Add or Edit mode and a valid Contra Bank ID is selected","1. Click the Contra Branch lookup icon | 2. Search and choose a branch","Contra Branch lookup uses the selected bank as a filter and fills Contra Branch ID and name correctly","","Not Executed","","",""
"TC_AU_DDM_011","Verify Direct Debit Instruction lookup is available in VIEW mode","Functional","P1","Module is in VIEW mode","1. Click the Direct Debit Instruction lookup icon | 2. Search for an existing instruction | 3. Select a record","Lookup remains enabled in VIEW mode and selecting a record triggers loading of the selected direct debit instruction","","Not Executed","","",""
"TC_AU_DDM_012","Verify View action loads a record using entered instruction ID","Functional","P1","An existing Direct Debit Instruction ID is known","1. Type a valid Direct Debit Instruction ID | 2. Click View | 3. Review all sections","Persisted values load into the form, the module returns to VIEW mode, and a success message is shown","","Not Executed","","",""
"TC_AU_DDM_013","Verify View action warns when no instruction ID is provided","Validation","P1","No record is loaded and Direct Debit Instruction ID is blank","1. Open the module fresh | 2. Click View","System clears the form, stays in VIEW mode, and shows a warning instructing the user to enter a Direct Debit Instruction ID","","Not Executed","","",""
"TC_AU_DDM_014","Verify Add action clears the form and enables entry","Functional","P1","Module is loaded","1. Click Add | 2. Inspect form fields and button states","Form is cleared, editable controls and lookups become enabled, Save and Cancel are active, and the module enters ADD mode","","Not Executed","","",""
"TC_AU_DDM_015","Create a new direct debit instruction with valid data","Functional","P1","User is in Add mode with access to valid branch, account, currency, frequency, and contra details","1. Click Add | 2. Enter valid direct debit details including branch, account, instruction type, amount, dates, frequency, and contra details | 3. Click Save","Record is created successfully, a success message is shown, and the saved record can be reloaded in VIEW mode","","Not Executed","","",""
"TC_AU_DDM_016","Verify save payload uses default Amount Type ID of T","Integration","P2","Browser network tools are available and user is in Add or Edit mode","1. Save a direct debit record | 2. Inspect the save request payload","Payload includes AmountTypeID or amountTypeId with the default value T when no alternate amount type is set in the UI","","Not Executed","","",""
"TC_AU_DDM_017","Verify loaded record maps status code to friendly status text","Business","P2","An existing record with a status code such as A, I, S, P, or C exists","1. Load the record | 2. Observe the Standing Instruction Status field","Status field displays the mapped friendly text such as Active, Inactive, Stopped, Pending, or Cancelled instead of the raw code when applicable","","Not Executed","","",""
"TC_AU_DDM_018","Verify API dates are normalized into HTML date inputs","Functional","P2","An existing record contains Effective Date, First Execution Date, Last Execution Date, or Value Date from the backend","1. Load the record | 2. Inspect all date inputs","Returned dates are normalized into valid yyyy-MM-dd input values and displayed correctly in the date controls","","Not Executed","","",""
"TC_AU_DDM_019","Verify Edit action requires a loaded record","Validation","P1","No direct debit record is currently loaded","1. Open the module fresh | 2. Attempt to click Edit if available","Edit is not available until a record is loaded, preventing record locking and edits on empty context","","Not Executed","","",""
"TC_AU_DDM_020","Verify Edit action acquires a record lock before enabling edits","Integration","P1","An existing direct debit instruction is loaded in VIEW mode","1. Load a valid record | 2. Click Edit | 3. Monitor the add lock API call or system behavior","System attempts to add a record lock using Branch ID, Module ID, and PKKey before switching the form into EDIT mode","","Not Executed","","",""
"TC_AU_DDM_021","Edit an existing direct debit instruction and save changes","Functional","P1","An existing direct debit instruction is loaded and lock acquisition succeeds","1. Click Edit | 2. Change editable fields such as amount, frequency, or remarks | 3. Click Save","Record updates successfully, success feedback is shown, and the latest values are visible after the record reloads","","Not Executed","","",""
"TC_AU_DDM_022","Verify Cancel in Edit mode releases the record lock and reloads data","Integration","P1","A record is loaded, Edit mode is active, and unsaved changes exist","1. Click Edit | 2. Change one or more values | 3. Click Cancel | 4. Confirm cancellation if prompted","System releases the record lock, discards unsaved changes, and reloads the last viewed persisted record","","Not Executed","","",""
"TC_AU_DDM_023","Verify Cancel in Add mode discards unsaved data and returns to VIEW mode","Business","P2","User is in Add mode with unsaved values entered","1. Click Add | 2. Enter sample values | 3. Click Cancel | 4. Confirm cancellation if prompted","Unsaved values are discarded and the module returns to a clean VIEW state","","Not Executed","","",""
